[2019-09-08 14:13:58,689:saveToExcel  23@getAllData] Excel data: []
[2019-09-08 14:31:52,135:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:31:52,135:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:31:52,136:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:31:52,137:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:31:52,138:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:31:52,138:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:31:52,139:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
[2019-09-08 14:32:54,245:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:32:54,246:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:32:54,246:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:32:54,247:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:32:54,248:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:32:54,249:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:32:54,252:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
[2019-09-08 14:33:11,062:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:33:11,063:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:33:11,064:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:33:11,065:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:33:11,066:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:33:11,066:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:33:11,067:saveToExcel  18@getAllData] 1.hello,안녕
[2019-09-08 14:33:11,067:saveToExcel  33@getData] 2.['안녕하세요']
[2019-09-08 14:33:11,068:saveToExcel  41@getData] 3.['안녕']
[2019-09-08 14:33:11,069:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요']}]
[2019-09-08 14:47:47,224:saveToExcel  21@getAllData] 1.test,테스트
[2019-09-08 14:48:14,864:saveToExcel  21@getAllData] 1.test,테스트
[2019-09-08 14:48:14,865:saveToExcel  40@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:48:14,866:saveToExcel  48@getData] 3.['테스트', '시험']
[2019-09-08 14:48:14,867:saveToExcel  21@getAllData] 1.test2,테스트2
[2019-09-08 14:48:14,867:saveToExcel  40@getData] 2.['시험보다']
[2019-09-08 14:48:14,868:saveToExcel  48@getData] 3.['시험']
[2019-09-08 14:48:14,868:saveToExcel  21@getAllData] 1.hello,안녕
[2019-09-08 14:48:14,875:saveToExcel  40@getData] 2.['안녕하세요']
[2019-09-08 14:48:14,880:saveToExcel  48@getData] 3.['안녕']
[2019-09-08 14:48:14,881:saveToExcel  27@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요']}]
[2019-09-08 14:50:01,449:saveToExcel  21@getAllData] 1.test,테스트
[2019-09-08 14:50:01,450:saveToExcel  40@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:50:01,450:saveToExcel  48@getData] 3.['테스트', '시험']
[2019-09-08 14:50:01,451:saveToExcel  21@getAllData] 1.test2,테스트2
[2019-09-08 14:50:01,452:saveToExcel  40@getData] 2.['시험보다']
[2019-09-08 14:50:01,454:saveToExcel  48@getData] 3.['시험']
[2019-09-08 14:50:01,455:saveToExcel  21@getAllData] 1.hello,안녕
[2019-09-08 14:50:01,456:saveToExcel  40@getData] 2.['안녕하세요']
[2019-09-08 14:50:01,457:saveToExcel  48@getData] 3.['안녕']
[2019-09-08 14:50:01,457:saveToExcel  27@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요']}]
[2019-09-08 14:50:41,909:saveToExcel  21@getAllData] 1.test,테스트
[2019-09-08 14:50:41,910:saveToExcel  40@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:50:41,910:saveToExcel  48@getData] 3.['테스트', '시험']
[2019-09-08 14:50:41,911:saveToExcel  21@getAllData] 1.test2,테스트2
[2019-09-08 14:50:41,911:saveToExcel  40@getData] 2.['시험보다']
[2019-09-08 14:50:41,912:saveToExcel  48@getData] 3.['시험']
[2019-09-08 14:50:41,913:saveToExcel  21@getAllData] 1.hello,안녕
[2019-09-08 14:50:41,913:saveToExcel  40@getData] 2.['안녕하세요']
[2019-09-08 14:50:41,914:saveToExcel  48@getData] 3.['안녕']
[2019-09-08 14:50:41,914:saveToExcel  27@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요']}]
[2019-09-08 14:51:28,769:saveToExcel  21@getAllData] 1.test,테스트
[2019-09-08 14:51:28,770:saveToExcel  40@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:51:28,771:saveToExcel  48@getData] 3.['테스트', '시험']
[2019-09-08 14:51:28,771:saveToExcel  21@getAllData] 1.test2,테스트2
[2019-09-08 14:51:28,772:saveToExcel  40@getData] 2.['시험보다']
[2019-09-08 14:51:28,773:saveToExcel  48@getData] 3.['시험']
[2019-09-08 14:51:28,773:saveToExcel  21@getAllData] 1.hello,안녕
[2019-09-08 14:51:28,783:saveToExcel  40@getData] 2.['안녕하세요']
[2019-09-08 14:51:28,784:saveToExcel  48@getData] 3.['안녕']
[2019-09-08 14:51:28,785:saveToExcel  27@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요']}]
[2019-09-08 14:54:20,019:saveToExcel  22@getAllData] 1.test,테스트
[2019-09-08 14:54:20,020:saveToExcel  39@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:54:20,021:saveToExcel  47@getData] 3.['테스트', '시험']
[2019-09-08 14:54:20,022:saveToExcel  22@getAllData] 1.test2,테스트2
[2019-09-08 14:54:20,023:saveToExcel  39@getData] 2.['시험보다']
[2019-09-08 14:54:20,025:saveToExcel  47@getData] 3.['시험']
[2019-09-08 14:54:20,025:saveToExcel  22@getAllData] 1.hello,안녕
[2019-09-08 14:54:20,026:saveToExcel  39@getData] 2.['안녕하세요']
[2019-09-08 14:54:20,027:saveToExcel  47@getData] 3.['안녕']
[2019-09-08 14:54:20,028:saveToExcel  28@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요']}]
[2019-09-08 14:54:46,046:saveToExcel  22@getAllData] 1.test,테스트
[2019-09-08 14:54:46,047:saveToExcel  39@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:54:46,048:saveToExcel  47@getData] 3.['테스트', '시험']
[2019-09-08 14:54:46,049:saveToExcel  22@getAllData] 1.test2,테스트2
[2019-09-08 14:54:46,049:saveToExcel  39@getData] 2.['시험보다']
[2019-09-08 14:54:46,050:saveToExcel  47@getData] 3.['시험']
[2019-09-08 14:54:46,051:saveToExcel  22@getAllData] 1.hello,안녕
[2019-09-08 14:54:46,052:saveToExcel  39@getData] 2.['안녕하세요2']
[2019-09-08 14:54:46,053:saveToExcel  47@getData] 3.['안녕2']
[2019-09-08 14:54:46,054:saveToExcel  28@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요2']}]
[2019-09-08 14:55:22,547:saveToExcel  22@getAllData] 1.test,테스트
[2019-09-08 14:55:22,548:saveToExcel  39@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:55:22,549:saveToExcel  47@getData] 3.['테스트', '시험']
[2019-09-08 14:55:22,550:saveToExcel  22@getAllData] 1.test2,테스트2
[2019-09-08 14:55:22,550:saveToExcel  39@getData] 2.['시험보다']
[2019-09-08 14:55:22,551:saveToExcel  47@getData] 3.['시험']
[2019-09-08 14:55:22,552:saveToExcel  22@getAllData] 1.hello,안녕
[2019-09-08 14:55:22,552:saveToExcel  39@getData] 2.['안녕하세요2']
[2019-09-08 14:55:22,553:saveToExcel  47@getData] 3.['안녕zz']
[2019-09-08 14:55:22,554:saveToExcel  28@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요2']}]
[2019-09-08 14:55:24,452:saveToExcel  22@getAllData] 1.test,테스트
[2019-09-08 14:55:24,453:saveToExcel  39@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:55:24,453:saveToExcel  47@getData] 3.['테스트', '시험']
[2019-09-08 14:55:24,454:saveToExcel  22@getAllData] 1.test2,테스트2
[2019-09-08 14:55:24,455:saveToExcel  39@getData] 2.['시험보다']
[2019-09-08 14:55:24,455:saveToExcel  47@getData] 3.['시험']
[2019-09-08 14:55:24,456:saveToExcel  22@getAllData] 1.hello,안녕
[2019-09-08 14:55:24,457:saveToExcel  39@getData] 2.['안녕하세요2']
[2019-09-08 14:55:24,458:saveToExcel  47@getData] 3.['안녕zz']
[2019-09-08 14:55:24,458:saveToExcel  28@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요2']}]
[2019-09-08 14:56:18,898:saveToExcel  22@getAllData] 1.test,테스트
[2019-09-08 14:56:18,899:saveToExcel  39@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:56:18,900:saveToExcel  47@getData] 3.['테스트', '시험']
[2019-09-08 14:56:18,900:saveToExcel  22@getAllData] 1.test2,테스트2
[2019-09-08 14:56:18,901:saveToExcel  39@getData] 2.['시험보다']
[2019-09-08 14:56:18,901:saveToExcel  47@getData] 3.['시험']
[2019-09-08 14:56:18,902:saveToExcel  22@getAllData] 1.hello,안녕
[2019-09-08 14:56:18,902:saveToExcel  39@getData] 2.['안녕하세요2']
[2019-09-08 14:56:18,903:saveToExcel  47@getData] 3.['안녕zz']
[2019-09-08 14:56:18,903:saveToExcel  28@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다'], 'keywords': ['테스트', '시험']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다'], 'keywords': ['시험']}, {'word': 'hello', 'meaning': '안녕', 'examples': ['안녕하세요2'], 'keywords': ['안녕zz']}]
