ERROR 2019-08-31 09:15:31,082 >> server error
INFO 2019-08-31 14:14:42,562 >> full path:D:\내사진\Album 2019\190114-아두이노키트
INFO 2019-08-31 14:14:42,563 >> options:{'arg': 'option'}
INFO 2019-08-31 14:14:42,563 >> __name__:service.requestHandler
INFO 2019-08-31 14:17:57,943 >> server start
INFO 2019-08-31 14:17:59,610 >> request:<Request 'http://127.0.0.1:5000/image/edit_f02' [POST]>
INFO 2019-08-31 14:17:59,610 >> full path:D:\내사진\Album 2019\190114-아두이노키트
INFO 2019-08-31 14:17:59,610 >> options:{'arg': 'option'}
INFO 2019-08-31 14:17:59,611 >> __name__:service.requestHandler
INFO 2019-08-31 14:17:59,611 >> __name__:_make_log
INFO 2019-08-31 14:19:47,705 >> server start
INFO 2019-08-31 14:20:01,042 >> request:<Request 'http://127.0.0.1:5000/image/edit_f02' [POST]>
INFO 2019-08-31 14:20:01,042 >> full path:D:\내사진\Album 2019\190114-아두이노키트
INFO 2019-08-31 14:20:01,042 >> options:{'arg': 'option'}
INFO 2019-08-31 14:20:01,043 >> __name__:service.requestHandler
INFO 2019-08-31 14:20:01,043 >> __name__:_make_log
